File,File Index,Sub File Index,Call Index,Abs. Start Time,Abs. End Time,Rel. Start Time,Rel. End Time,Call Length,Call Type,File Start Time
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 1.wav,1,0,0,7.490190485,7.50933111,3.331730485,3.35087111,0.019140625,Downward Ramp,4.15846
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 1.wav,1,1,1,8.045566886,8.072129386,3.887106886,3.913669386,0.0265625,Flat,4.15846
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 2.wav,2,0,2,8.117670064,8.659613845,0.015790064,0.557733845,0.541943781,22-kHz Call,8.10188
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 3.wav,3,0,3,11.64096075,13.80850304,0.05134075,2.218883039,2.167542289,22-kHz Call,11.58962
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 3.wav,3,1,4,14.04114081,14.32191054,2.451520813,2.732290539,0.280769727,22-kHz Call,11.58962
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 4.wav,4,0,5,15.9793658,16.66101631,0.282485798,0.96413631,0.681650512,22-kHz Call,15.69688
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 4.wav,4,1,6,17.18300094,18.57700694,1.486120937,2.88012694,1.394006003,22-kHz Call,15.69688
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 4.wav,4,2,7,18.6353464,19.60255321,2.938466398,3.905673206,0.967206808,22-kHz Call,15.69688
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 11.wav,11,0,8,44.9202634,44.99098679,0.062963397,0.133686794,0.070723397,Inverted U,44.8573
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 6\wav_section - 11.wav,11,1,9,46.15736257,47.31818344,1.300062573,2.460883445,1.160820872,22-kHz Call,44.8573
