File,File Index,Sub File Index,Call Index,Abs. Start Time,Abs. End Time,Rel. Start Time,Rel. End Time,Call Length,Call Type,File Start Time
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 1.wav,1,0,0,5.321661612,5.376253048,1.127361612,1.181953048,0.054591436,Step Down,4.1943
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 1.wav,1,1,1,5.744263551,5.802708501,1.549963551,1.608408501,0.058444949,Step Down,4.1943
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 1.wav,1,2,2,6.56026854,6.593882319,2.36596854,2.399582319,0.033613779,Upward Ramp,4.1943
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 1.wav,1,3,3,6.873407427,6.904072628,2.679107427,2.709772628,0.030665202,Downward Ramp,4.1943
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 1.wav,1,4,4,7.394400714,7.449185871,3.200100714,3.254885871,0.054785156,Flat,4.1943
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 1.wav,1,5,5,7.671549152,7.848795246,3.477249152,3.654495246,0.177246094,Flat,4.1943
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 1.wav,1,6,6,8.329654671,8.353287484,4.135354671,4.158987484,0.023632813,Complex,4.1943
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,0,7,8.581268476,8.683826975,0.192668476,0.295226975,0.102558499,Inverted U,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,1,8,9.040602198,9.071899103,0.652002198,0.683299103,0.031296905,Step Down,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,2,9,9.431813509,9.494808561,1.043213509,1.106208561,0.062995052,Step Down,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,3,10,10.28618839,10.35474281,1.897588392,1.966142809,0.068554417,Upward Ramp,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,4,11,10.47186939,10.70038411,2.083269387,2.311784112,0.228514724,Downward Ramp,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,5,12,10.77573207,10.87096742,2.387132069,2.482367423,0.095235354,Inverted U,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,6,13,10.89323754,10.9911303,2.504637536,2.602530295,0.097892759,Inverted U,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,7,14,11.19397192,11.25753096,2.805371916,2.868930964,0.063559048,Complex,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,8,15,11.3716471,11.57477647,2.983047098,3.186176467,0.203129369,Split,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,9,16,11.58300448,11.65936065,3.194404481,3.270760653,0.076356172,Complex,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,10,17,11.89765185,12.19356871,3.509051852,3.80496871,0.295916858,Split,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,11,18,12.19565501,12.23169995,3.807055011,3.84309995,0.03604494,Complex,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 2.wav,2,12,19,12.40044034,12.51444412,4.01184034,4.125844125,0.114003785,Multi-Step,8.3886
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,0,20,12.73346623,12.94989179,0.150566234,0.366991792,0.216425558,Split,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,1,21,12.95785295,13.00031246,0.374952951,0.417412461,0.04245951,Complex,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,2,22,13.22021864,13.41034733,0.637318636,0.827447333,0.190128697,Split,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,3,23,13.42009752,13.45259815,0.837197523,0.869698155,0.032500632,Complex,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,4,24,13.65951885,13.81281349,1.076618845,1.229913493,0.153294648,Step Up,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,5,25,13.90002352,14.24994699,1.317123522,1.667046993,0.349923471,Split,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,6,26,14.74158702,14.96227032,2.158687018,2.379370321,0.220683304,Split,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,7,27,15.5249338,15.74572325,2.942033796,3.162823248,0.220789452,Step Down,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,8,28,16.05468507,16.10731717,3.471785065,3.524417167,0.052632101,Complex,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 3.wav,3,9,29,16.41024686,16.70790311,3.827346859,4.125003109,0.29765625,Step Down,12.5829
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 4.wav,4,0,30,16.95031013,17.09225984,0.173110126,0.315059835,0.14194971,Split,16.7772
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 4.wav,4,1,31,17.11013763,17.22276775,0.332937632,0.445567755,0.112630122,Complex,16.7772
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\partial - 2\wav_section - 4.wav,4,2,32,17.70862968,17.84339531,0.931429683,1.066195308,0.134765625,Split,16.7772
